Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Amol Haribhau Jawale,RAVER,BJP,0,Post Graduate,"Rs 13,55,74,362 ~ 13 Crore+","Rs 39,65,284 ~ 39 Lacs+"
2,Abdul Sattar,SILLOD,Shiv Sena,6,Graduate,"Rs 27,77,04,390 ~ 27 Crore+","Rs 92,68,548 ~ 92 Lacs+"
3,Abhijeet Dhananjay Patil,MADHA,NCP-Sharadchandra Pawar,3,10th Pass,,
4,Abhimanyu Dattatray Pawar,AUSA,BJP,1,Post Graduate,"Rs 3,01,32,667 ~ 3 Crore+","Rs 19,95,000 ~ 19 Lacs+"
5,Abitkar Prakash Anandrao,RADHANAGARI,Shiv Sena,0,Graduate,"Rs 1,60,85,796 ~ 1 Crore+","Rs 18,56,994 ~ 18 Lacs+"
6,Abu Asim Azmi,MANKHURD SHIVAJINAGAR,SP,10,Graduate,,
7,Aditi Sunil Tatkare,SHRIVARDHAN,NCP,0,Post Graduate,"Rs 3,41,30,158 ~ 3 Crore+",Rs 0 ~
8,Aditya Uddhav Thackeray,WORLI,Shiv Sena (Uddhav Balasaheb Thackeray),1,Graduate Professional,"Rs 23,43,70,078 ~ 23 Crore+","Rs 43,76,212 ~ 43 Lacs+"
9,Adsad Pratap Arunbhau,DHAMANGAON RAILWAY,BJP,1,Graduate Professional,,
10,Adv Rahul Suresh Narwekar,COLABA,BJP,1,Graduate Professional,"Rs 1,29,81,08,003 ~ 129 Crore+","Rs 84,68,89,918 ~ 84 Crore+"
11,Adv. Ashish Shelar,VANDRE WEST,BJP,1,Graduate Professional,"Rs 40,48,84,965 ~ 40 Crore+","Rs 1,88,45,734 ~ 1 Crore+"
12,Adv. Kokate Manikrao Shivaji,SINNAR,NCP,1,Graduate Professional,,
13,Adv.Rahul Uttamrao Dhikale,NASHIK EAST,BJP,1,Graduate Professional,"Rs 6,64,84,165 ~ 6 Crore+","Rs 1,21,29,700 ~ 1 Crore+"
14,Agrawal Anupbhaiyya Omprakash,DHULE CITY,BJP,3,12th Pass,"Rs 53,34,70,948 ~ 53 Crore+","Rs 24,46,88,522 ~ 24 Crore+"
15,Agrawal Vinod,GONDIA,BJP,2,12th Pass,,
16,Ahire Saroj Babulal,DEOLALI (SC),NCP,0,Graduate,"Rs 3,71,61,087 ~ 3 Crore+","Rs 44,48,954 ~ 44 Lacs+"
17,Ailani Kumar Uttamchand,ULHASNAGAR,BJP,1,10th Pass,"Rs 35,79,46,162 ~ 35 Crore+","Rs 13,32,83,122 ~ 13 Crore+"
18,Ajay Vinayak Choudhari,SHIVADI,Shiv Sena (Uddhav Balasaheb Thackeray),0,10th Pass,,
19,Ajit Anantrao Pawar,BARAMATI,NCP,40,12th Pass,"Rs 1,24,55,30,888 ~ 124 Crore+","Rs 21,21,78,454 ~ 21 Crore+"
20,Akash Pandurang Fundkar,KHAMGAON,BJP,6,Graduate Professional,"Rs 9,64,05,922 ~ 9 Crore+","Rs 2,64,28,492 ~ 2 Crore+"
21,Alavani Parag,VILE PARLE,BJP,2,Graduate Professional,,
22,Amal Mahadevrao Mahadik,KOLHAPUR SOUTH,BJP,0,Graduate,"Rs 24,02,12,000 ~ 24 Crore+","Rs 2,77,29,000 ~ 2 Crore+"
23,Ameet Bhaskar Satam,ANDHERI WEST,BJP,0,Post Graduate,"Rs 11,57,51,268 ~ 11 Crore+","Rs 20,63,244 ~ 20 Lacs+"
24,Ameet Subhashrao Zanak,RISOD,INC,0,Graduate Professional,,
25,Amin Patel,MUMBADEVI,INC,1,10th Pass,"Rs 60,86,63,515 ~ 60 Crore+","Rs 1,74,91,946 ~ 1 Crore+"
26,Amit Vilasrao Deshmukh,LATUR CITY,INC,0,Graduate Professional,"Rs 42,60,68,060 ~ 42 Crore+","Rs 1,75,45,490 ~ 1 Crore+"
27,Amol Chimanrao Patil,ERANDOL,Shiv Sena,1,Graduate Professional,,
28,Amol Dhondiba Khatal,SANGMNER,Shiv Sena,1,Graduate,"Rs 66,71,744 ~ 66 Lacs+","Rs 18,38,746 ~ 18 Lacs+"
29,Amshya Fulji Padvi,AKKALKUWA (ST),Shiv Sena,5,12th Pass,"Rs 6,64,87,579 ~ 6 Crore+","Rs 79,99,997 ~ 79 Lacs+"
30,Anand Shankar Tidke,NANDED SOUTH,Shiv Sena,1,12th Pass,,
31,Anant (Bala) B. Nar,JOGESHWARI EAST,Shiv Sena (Uddhav Balasaheb Thackeray),3,10th Pass,"Rs 6,98,83,550 ~ 6 Crore+","Rs 2,66,46,872 ~ 2 Crore+"
32,Anil Alias Balasaheb Shankarrao Mangulkar,YAVATMAL,INC,0,12th Pass,"Rs 2,67,85,000 ~ 2 Crore+","Rs 7,99,723 ~ 7 Lacs+"
33,Anil Bhaidas Patil,AMALNER,NCP,1,Post Graduate,,
34,Anna Dadu Bansode,PIMPRI (SC),NCP,1,Others,"Rs 2,54,06,399 ~ 2 Crore+",Rs 0 ~
35,Antapurkar Jitesh Raosaheb,DEGLUR (SC),BJP,0,Graduate Professional,"Rs 5,13,37,125 ~ 5 Crore+","Rs 3,59,01,516 ~ 3 Crore+"
36,Anuradha Atul Chavan,PHOLAMBARI,BJP,1,Graduate,,
37,Arjun Panditrao Khotkar,JALNA,Shiv Sena,2,Graduate,"Rs 15,42,38,801 ~ 15 Crore+","Rs 1,02,06,050 ~ 1 Crore+"
38,Ashish Nandkishore Jaiswal(Vakil),RAMTEK,Shiv Sena,1,Graduate Professional,"Rs 11,91,94,862 ~ 11 Crore+","Rs 1,25,94,840 ~ 1 Crore+"
39,Ashok Dharmaraj Patil,BHANDUP WEST,Shiv Sena,5,Graduate Professional,,
40,Ashutosh Ashokrao Kale,KOPARGAON,NCP,0,Post Graduate,"Rs 16,23,39,044 ~ 16 Crore+","Rs 2,00,00,000 ~ 2 Crore+"
41,Aslam Ramjanali Shaikh,MALAD WEST,INC,5,8th Pass,"Rs 52,98,93,469 ~ 52 Crore+","Rs 60,00,000 ~ 60 Lacs+"
42,Atram Dharamraobaba Bhagwantrao,AHERI (ST),NCP,1,10th Pass,,
43,Atul Bhatkhalkar,KANDIVALI EAST,BJP,5,Graduate,"Rs 13,32,05,167 ~ 13 Crore+","Rs 21,21,369 ~ 21 Lacs+"
44,Atul Moreshwar Save,AURANGABAD EAST,BJP,0,Graduate,"Rs 46,38,90,670 ~ 46 Crore+","Rs 12,71,13,856 ~ 12 Crore+"
45,Autade Samadhan Mahadeo,PANDHARPUR,BJP,10,Others,,
46,Babaji Ramchandra Kale,KHED ALANDI,Shiv Sena (Uddhav Balasaheb Thackeray),1,Graduate Professional,"Rs 14,55,46,706 ~ 14 Crore+","Rs 3,35,02,938 ~ 3 Crore+"
47,Babanrao Dattatray Yadav (Lonikar),PARTUR,BJP,9,5th Pass,"Rs 18,86,49,579 ~ 18 Crore+","Rs 3,57,29,749 ~ 3 Crore+"
48,Babar Suhas Anilbhau,KHANPUR,Shiv Sena,0,Post Graduate,,
49,Babasaheb Mohanrao Patil,AHMEDPUR,NCP,0,Graduate,"Rs 8,28,62,515 ~ 8 Crore+","Rs 75,93,47,119 ~ 75 Crore+"
50,Badole Rajkumar Sudam,ARJUNI MORGAON (SC),NCP,1,Post Graduate,"Rs 3,39,88,309 ~ 3 Crore+","Rs 1,09,98,000 ~ 1 Crore+"
51,Balaji Devidasrao Kalyankar,NANDED NORTH,Shiv Sena,2,12th Pass,,
52,Bangar Santosh Laxmanrao,KALAMNURI,Shiv Sena,9,5th Pass,"Rs 4,58,15,380 ~ 4 Crore+","Rs 22,09,161 ~ 22 Lacs+"
53,Bankar Diliprao Shankarrao,NIPHAD,NCP,2,Graduate,"Rs 70,28,73,635 ~ 70 Crore+","Rs 3,31,81,359 ~ 3 Crore+"
54,Banti Bhangdiya,CHIMUR,BJP,4,Graduate,,
55,Bapusaheb Tukaram Pathare,VADGAON SHERI,NCP-Sharadchandra Pawar,3,8th Pass,"Rs 2,08,29,65,072 ~ 208 Crore+","Rs 42,42,35,076 ~ 42 Crore+"
56,Bhimrao Dhondiba Tapkir,KHADAKWASALA,BJP,0,12th Pass,"Rs 14,94,14,406 ~ 14 Crore+","Rs 59,13,230 ~ 59 Lacs+"
57,Bhimrao Ramji Keram,KINWAT,BJP,2,10th Pass,,
58,Bhondekar Narendra Bhojraj,BHANDARA (SC),Shiv Sena,0,Post Graduate,"Rs 8,02,43,091 ~ 8 Crore+","Rs 2,48,97,842 ~ 2 Crore+"
59,Bhoye Harishchandra Sakharam,VIKRAMGAD (ST),BJP,0,10th Pass,"Rs 1,46,43,386 ~ 1 Crore+","Rs 18,89,099 ~ 18 Lacs+"
60,Bhumre Vilas Sandipanrao,PAITHAN,Shiv Sena,2,Post Graduate,,
61,Bordikar Meghna Deepak Sakore,JINTUR,BJP,12,Post Graduate,"Rs 34,09,29,037 ~ 34 Crore+","Rs 7,74,62,118 ~ 7 Crore+"
62,Bornare (Sir) Ramesh Nanasaheb,VAIJAPUR,Shiv Sena,1,Post Graduate,"Rs 13,25,25,706 ~ 13 Crore+","Rs 3,57,85,529 ~ 3 Crore+"
63,Bumb Prashant Bansilal,GANGAPUR,BJP,2,Post Graduate,,
64,Captain R Tamil Selvan,SION KOLIWADA,BJP,2,10th Pass,"Rs 3,62,68,068 ~ 3 Crore+","Rs 51,97,351 ~ 51 Lacs+"
65,Chainsukh Madanlal Sancheti,MALKAPUR,BJP,3,Graduate,"Rs 19,70,68,376 ~ 19 Crore+","Rs 4,78,25,582 ~ 4 Crore+"
66,Chandradeep Shashikant Narake,KARVIR,Shiv Sena,6,Graduate Professional,,
67,Chandrakant (Dada) Bachhu Patil,KOTHRUD,BJP,2,Graduate,"Rs 8,93,55,190 ~ 8 Crore+","Rs 21,69,245 ~ 21 Lacs+"
68,Chandrakant Alias Rajubhaiya Ramakant Navghare,BASMATH,NCP,0,Post Graduate,"Rs 1,66,95,802 ~ 1 Crore+","Rs 7,50,861 ~ 7 Lacs+"
69,Chandrakant Baliram Sonawane,CHOPDA (ST),Shiv Sena,1,Post Graduate,,
70,Chandrakant Nimba Patil,MUKTAINAGAR,Shiv Sena,0,Graduate,"Rs 5,21,90,087 ~ 5 Crore+","Rs 89,48,292 ~ 89 Lacs+"
71,Chandrashekhar Krushnarao Bawankule,KAMTHI,BJP,4,12th Pass,"Rs 48,55,62,239 ~ 48 Crore+","Rs 20,24,99,236 ~ 20 Crore+"
72,Charansing Babulalji Thakur,KATOL,BJP,0,12th Pass,,
73,Chaudhary Manisha Ashok,DAHISAR,BJP,3,Graduate,"Rs 5,53,75,740 ~ 5 Crore+","Rs 33,78,804 ~ 33 Lacs+"
74,Chavan Ravindra Dattatray,DOMBIVALI,BJP,3,Graduate,"Rs 33,11,22,401 ~ 33 Crore+","Rs 17,63,49,587 ~ 17 Crore+"
75,Chavan Sreejaya Ashokrao,BHOKAR,BJP,0,Graduate Professional,,
76,Chetan Vitthal Tupe,HADAPSAR,NCP,3,10th Pass,"Rs 77,82,98,804 ~ 77 Crore+","Rs 5,41,40,408 ~ 5 Crore+"
77,Chhagan Bhujbal,YEVLA,NCP,4,10th Pass,"Rs 31,44,36,287 ~ 31 Crore+","Rs 3,83,23,361 ~ 3 Crore+"
78,Choughule Mahesh Prabhakar,BHIWANDI WEST,BJP,5,10th Pass,,
79,Dadaji Dagdu Bhuse,MALEGAON OUTER,Shiv Sena,0,Others,"Rs 18,42,26,204 ~ 18 Crore+","Rs 24,68,703 ~ 24 Lacs+"
80,Dalitmitra Dr.Ashokrao Mane(Bapu,HATKANANGLE (SC),Jan Surajya Shakti,1,10th Pass,"Rs 9,33,39,165 ~ 9 Crore+","Rs 1,40,86,778 ~ 1 Crore+"
81,Danve Santosh Raosaheb,BHOKARDAN,BJP,0,Graduate,,
82,Datke Pravin Prabhakarrao,NAGPUR CENTRAL,BJP,7,12th Pass,"Rs 4,40,29,775 ~ 4 Crore+","Rs 62,21,167 ~ 62 Lacs+"
83,Dattatraya Vithoba Bharane,INDAPUR,NCP,0,12th Pass,"Rs 69,47,17,033 ~ 69 Crore+","Rs 9,01,80,049 ~ 9 Crore+"
84,Daulat Bhika Daroda,SHAHAPUR (ST),NCP,1,Graduate,,
85,Deepak Vasantrao Kesarkar,SAWANTWADI,Shiv Sena,0,Graduate,"Rs 1,27,77,77,466 ~ 127 Crore+","Rs 29,27,21,068 ~ 29 Crore+"
86,Deorao Vithoba Bhongle,RAJURA,BJP,4,Post Graduate,"Rs 6,54,00,831 ~ 6 Crore+","Rs 27,07,926 ~ 27 Lacs+"
87,Derkar Sanjay Nilkanthrao,WANI,Shiv Sena (Uddhav Balasaheb Thackeray),0,Post Graduate,,
88,Desai Shambhuraj Shivajirao,PATAN,Shiv Sena,0,12th Pass,"Rs 19,60,47,063 ~ 19 Crore+","Rs 5,45,50,528 ~ 5 Crore+"
89,Deshmukh Satyajit Shivajirao,SHIRALA,BJP,0,Graduate,"Rs 12,39,56,590 ~ 12 Crore+","Rs 2,45,15,570 ~ 2 Crore+"
90,Deshmukh Subhash Sureshchandra,SOLAPUR SOUTH,BJP,12,10th Pass,,
91,Deshmukh Vijay Sidramappa,SOLAPUR CITY NORTH,BJP,3,Graduate,"Rs 11,93,41,818 ~ 11 Crore+","Rs 2,65,397 ~ 2 Lacs+"
92,Devendra Gangadhar Fadnavis,NAGPUR SOUTH WEST,BJP,4,Graduate Professional,"Rs 13,27,47,728 ~ 13 Crore+","Rs 62,00,000 ~ 62 Lacs+"
93,Devendra Rajesh Kothe,SOLAPUR CITY CENTRAL,BJP,2,Graduate Professional,,
94,Devyani Suhas Pharande,NASHIK (CENTRAL),BJP,4,Post Graduate,"Rs 13,47,38,800 ~ 13 Crore+","Rs 3,00,197 ~ 3 Lacs+"
95,Dhananjay Hari Gadgil,SANGLI,BJP,0,Graduate,"Rs 97,87,31,153 ~ 97 Crore+","Rs 12,22,91,498 ~ 12 Crore+"
96,Dhananjay Panditrao Munde,PARLI,NCP,4,Graduate Professional,,
97,Dhas Suresh Ramchandra,ASHTI,BJP,5,Graduate,"Rs 36,93,94,182 ~ 36 Crore+","Rs 3,65,37,605 ~ 3 Crore+"
98,Dilip Bhausaheb Lande,CHANDIVALI,Shiv Sena,11,Graduate,"Rs 7,37,52,397 ~ 7 Crore+","Rs 2,48,62,031 ~ 2 Crore+"
99,Dilip Dattatray Walse Patil,AMBEGAON,NCP,1,Post Graduate,,
100,Dilip Gangadhar Sopal,BARSHI,Shiv Sena (Uddhav Balasaheb Thackeray),2,Graduate Professional,"Rs 34,32,59,078 ~ 34 Crore+","Rs 60,000 ~ 60 Thou+"
101,Dilip Manglu Borse,BAGLAN (ST),BJP,0,Graduate,"Rs 4,38,11,927 ~ 4 Crore+","Rs 3,45,61,049 ~ 3 Crore+"
102,Dnyaneshwar Alias Mauli Aba Katke,SHIRUR,NCP,4,12th Pass,,
103,Dr Ashishrao Deshmukh,SAVNER,BJP,5,Doctorate,"Rs 89,08,92,895 ~ 89 Crore+","Rs 23,22,36,200 ~ 23 Crore+"
104,Dr Atulbaba Suresh Bhosale,KARAD SOUTH,BJP,0,Graduate Professional,"Rs 82,57,92,062 ~ 82 Crore+","Rs 2,74,83,648 ~ 2 Crore+"
105,Dr Nitin Kashinath Raut,NAGPUR NORTH (SC),INC,3,Doctorate,,
106,Dr. Babasaheb Annasaheb Deshmukh,SANGOLA,Peasants And Workers Party of India,2,Post Graduate,"Rs 1,58,89,675 ~ 1 Crore+","Rs 9,000 ~ 9 Thou+"
107,Dr. Balaji Pralhad Kinikar,AMBARNATH (SC),Shiv Sena,0,Graduate Professional,"Rs 11,88,74,084 ~ 11 Crore+","Rs 5,48,47,219 ~ 5 Crore+"
108,Dr. Gaikwad Jyoti Eknath,DHARAVI (SC),INC,0,Post Graduate,,
109,Dr. Kiran Yamaji Lahamate,AKOLE (ST),NCP,0,Graduate Professional,"Rs 1,43,66,338 ~ 1 Crore+","Rs 3,08,514 ~ 3 Lacs+"
110,Dr. Milind Ramji Narote,GADCHIROLI (ST),BJP,0,Graduate Professional,"Rs 1,08,29,758 ~ 1 Crore+","Rs 1,37,198 ~ 1 Lacs+"
111,Dr. Pankaj Rajesh Bhoyar,WARDHA,BJP,1,Doctorate,,
112,Dr. Rahul Vedprakash Patil,PARBHANI,Shiv Sena (Uddhav Balasaheb Thackeray),5,Graduate Professional,"Rs 6,10,30,048 ~ 6 Crore+","Rs 1,65,05,220 ~ 1 Crore+"
113,Dr. Suresh(Bhau) Dagadu Khade,MIRAJ (SC),BJP,1,Doctorate,"Rs 6,08,10,502 ~ 6 Crore+","Rs 62,15,971 ~ 62 Lacs+"
114,Dr. Vinay Vilasrao Kore (Savkar),SHAHUWADI,Jan Surajya Shakti,0,12th Pass,,
115,Dr.Aher Rahul Daulatrao,CHANDWAD,BJP,0,Post Graduate,"Rs 32,26,16,814 ~ 32 Crore+","Rs 1,46,66,452 ~ 1 Crore+"
116,Dr.Vijaykumar Krushanrao Gavit,NANDURBAR (ST),BJP,0,Post Graduate,"Rs 35,59,36,287 ~ 35 Crore+","Rs 6,91,26,022 ~ 6 Crore+"
117,Eknath Sambhaji Shinde,KOPRI-PACHPAKHADI,Shiv Sena,9,Graduate,,
118,Gaikwad Sanjay Rambhau,BULDHANA,Shiv Sena,4,8th Pass,"Rs 4,56,09,670 ~ 4 Crore+","Rs 91,00,000 ~ 91 Lacs+"
119,Gajanan Motiram Lawate,DARYAPUR (SC),Shiv Sena (Uddhav Balasaheb Thackeray),10,8th Pass,"Rs 4,23,32,108 ~ 4 Crore+","Rs 1,91,22,191 ~ 1 Crore+"
120,Ganesh Ramchandra Naik,AIROLI,BJP,2,10th Pass,,
121,Gavit Rajendra Dhedya,PALGHAR (ST),Shiv Sena,1,Graduate,"Rs 14,22,62,017 ~ 14 Crore+","Rs 1,29,71,595 ~ 1 Crore+"
122,Girish Dattatray Mahajan,JAMNER,BJP,2,12th Pass,"Rs 39,67,30,361 ~ 39 Crore+","Rs 1,43,22,772 ~ 1 Crore+"
123,Gogawale Bharat Maruti,MAHAD,Shiv Sena,1,8th Pass,,
124,Gopichand Kundlik Padalkar,JAT,BJP,6,12th Pass,"Rs 65,33,617 ~ 65 Lacs+","Rs 1,61,221 ~ 1 Lacs+"
125,Gulabrao Raghunath Patil,JALGAON RURAL,Shiv Sena,0,12th Pass,"Rs 10,50,94,781 ~ 10 Crore+","Rs 1,78,39,839 ~ 1 Crore+"
126,Gutte Ratnakar Manikrao,GANGAKHED,Rashtriya Samaj Paksha,12,8th Pass,,
127,Harish Marotiappa Pimple,MURTIZAPUR (SC),BJP,0,12th Pass,"Rs 8,73,78,630 ~ 8 Crore+","Rs 3,24,48,095 ~ 3 Crore+"
128,Haroon Khan,VERSOVA,Shiv Sena (Uddhav Balasaheb Thackeray),2,10th Pass,"Rs 4,64,54,770 ~ 4 Crore+","Rs 44,36,180 ~ 44 Lacs+"
129,Hemant Narayan Rasane,KASBA PETH,BJP,3,12th Pass,,
130,Hiray Seema Mahesh,NASHIK WEST,BJP,3,Graduate,"Rs 29,68,48,877 ~ 29 Crore+",Rs 0 ~
131,Indranil Manohar Naik,PUSAD,NCP,0,Graduate Professional,"Rs 7,19,40,863 ~ 7 Crore+","Rs 1,40,97,080 ~ 1 Crore+"
132,Jadhav Bhaskar Bhaurao,GUHAGAR,Shiv Sena (Uddhav Balasaheb Thackeray),8,10th Pass,,
133,Jagtap Shankar Pandurang,CHINCHWAD,BJP,2,Post Graduate,"Rs 91,29,83,860 ~ 91 Crore+","Rs 21,65,33,278 ~ 21 Crore+"
134,Jaiswal Pradeep Shivnarayan,AURANGABAD CENTRAL,Shiv Sena,3,8th Pass,"Rs 31,40,98,075 ~ 31 Crore+","Rs 8,75,96,682 ~ 8 Crore+"
135,Jayant Rajaram Patil,ISLAMPUR,NCP-Sharadchandra Pawar,1,Graduate Professional,,
136,Jaykumar Bhagavanrao Gore,MAN,BJP,5,12th Pass,"Rs 10,06,53,283 ~ 10 Crore+","Rs 8,99,55,863 ~ 8 Crore+"
137,Jaykumar Jitendrasinh Rawal,SINDHKHEDA,BJP,2,Graduate,"Rs 31,92,96,759 ~ 31 Crore+","Rs 4,42,67,960 ~ 4 Crore+"
138,Jorgewar Kishor Gajanan,CHANDRAPUR (SC),BJP,3,10th Pass,,
139,Kadam Vishwajit Patangrao,PALUS-KADEGAON,INC,0,Doctorate,"Rs 2,99,46,10,739 ~ 299 Crore+","Rs 1,15,64,44,474 ~ 115 Crore+"
140,Kadam Yogeshdada Ramdas,DAPOLI,Shiv Sena,0,Graduate,"Rs 39,69,56,581 ~ 39 Crore+","Rs 15,70,33,629 ~ 15 Crore+"
