Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
141,Kailas Balasaheb Ghadge Patil,OSMANABAD,Shiv Sena (Uddhav Balasaheb Thackeray),1,Graduate Professional,,
142,Kalidas Nilkanth Kolambkar,WADALA,BJP,3,10th Pass,"Rs 7,55,40,993 ~ 7 Crore+","Rs 10,50,403 ~ 10 Lacs+"
143,Kalyanshetti Sachin Panchappa,AKKALKOT,BJP,2,Graduate Professional,"Rs 4,29,20,982 ~ 4 Crore+","Rs 41,29,938 ~ 41 Lacs+"
144,Kamble Sunil Dyandev,PUNE CANTONMENT (SC),BJP,2,8th Pass,,
145,Karan Sanjay Deotale,WARORA,BJP,0,Post Graduate,"Rs 6,92,28,755 ~ 6 Crore+","Rs 59,90,377 ~ 59 Lacs+"
146,Kardile Shivaji Bhanudas,RAHURI,BJP,3,8th Pass,"Rs 40,90,51,739 ~ 40 Crore+","Rs 7,27,02,173 ~ 7 Crore+"
147,Karemore Raju Manikrao,TUMSAR,NCP,4,12th Pass,,
148,Kashinath Mahadu Date Sir,PARNER,NCP,0,Graduate,"Rs 5,07,73,010 ~ 5 Crore+","Rs 1,63,31,966 ~ 1 Crore+"
149,Kashiram Vechan Pawara,SHIRPUR (ST),BJP,0,Literate,"Rs 1,61,69,556 ~ 1 Crore+","Rs 30,35,312 ~ 30 Lacs+"
150,Kayande Manoj Devanand,SINDHKHED RAJA,NCP,0,Graduate,,
151,Kewalram Tulsiram Kale,MELGHAT (ST),BJP,0,10th Pass,"Rs 1,33,55,106 ~ 1 Crore+","Rs 15,09,256 ~ 15 Lacs+"
152,Kharat Siddharth Rambhau,MEHKAR (SC),Shiv Sena (Uddhav Balasaheb Thackeray),0,Post Graduate,"Rs 6,04,17,512 ~ 6 Crore+","Rs 1,08,49,787 ~ 1 Crore+"
153,Khare Raju Dnyanu,MOHOL (SC),NCP-Sharadchandra Pawar,0,10th Pass,,
154,Khopde Krishna Pancham,NAGPUR EAST,BJP,3,5th Pass,"Rs 13,03,02,535 ~ 13 Crore+","Rs 4,08,99,342 ~ 4 Crore+"
155,Khoskar Hiraman Bhika,IGATPURI (ST),NCP,0,Literate,"Rs 2,72,73,276 ~ 2 Crore+","Rs 28,12,021 ~ 28 Lacs+"
156,Kiran Alias Bhaiyya Samant,RAJAPUR,Shiv Sena,0,Others,,
157,Kisan Maroti Wankhede,UMARKHED (SC),BJP,0,Graduate Professional,"Rs 94,88,810 ~ 94 Lacs+",Rs 0 ~
158,Kisan Shankar Kathore,MURBAD,BJP,1,10th Pass,"Rs 17,20,33,659 ~ 17 Crore+","Rs 85,46,871 ~ 85 Lacs+"
159,Kishor Appa Patil,PACHORA,Shiv Sena,1,12th Pass,,
160,Kohlikar Baburao Kadam,HADGAON,Shiv Sena,2,Graduate,"Rs 2,14,88,316 ~ 2 Crore+","Rs 7,61,515 ~ 7 Lacs+"
161,Kuche Narayan Tilakchand,BADNAPUR (SC),BJP,1,Graduate,"Rs 7,89,30,670 ~ 7 Crore+","Rs 1,39,96,753 ~ 1 Crore+"
162,Kudalkar Mangesh,KURLA (SC),Shiv Sena,0,12th Pass,,
163,Kul Rahul Subhashrao,DAUND,BJP,7,Graduate Professional,"Rs 7,70,33,757 ~ 7 Crore+","Rs 11,74,686 ~ 11 Lacs+"
164,Kute Sanjay Shriram,JALGAON (JAMOD),BJP,0,Graduate Professional,"Rs 18,92,25,617 ~ 18 Crore+","Rs 5,28,24,106 ~ 5 Crore+"
165,Madhuri Satish Misal,PARVATI,BJP,0,Graduate,,
166,Mahendra Hari Dalvi,ALIBAG,Shiv Sena,1,8th Pass,"Rs 36,68,23,701 ~ 36 Crore+","Rs 4,41,98,153 ~ 4 Crore+"
167,Mahesh (Dada) Kisan Landge,BHOSARI,BJP,2,Graduate Professional,"Rs 20,83,51,168 ~ 20 Crore+","Rs 2,98,37,832 ~ 2 Crore+"
168,Mahesh Baldi,URAN,BJP,11,12th Pass,,
169,Mahesh Baliram Sawant,MAHIM,Shiv Sena (Uddhav Balasaheb Thackeray),13,Graduate,"Rs 1,43,22,567 ~ 1 Crore+","Rs 3,46,000 ~ 3 Lacs+"
170,Mahesh Sambhajiraje Shinde,KOREGAON,Shiv Sena,2,Graduate Professional,"Rs 77,05,28,510 ~ 77 Crore+","Rs 22,93,77,295 ~ 22 Crore+"
171,Makrand Laxmanrao Jadhav (Patil),WAI,NCP,0,Others,,
172,Manda Vijay Mhatre,BELAPUR,BJP,3,5th Pass,"Rs 9,29,47,555 ~ 9 Crore+",Rs 0 ~
173,Mangal Prabhat Lodha,MALABAR HILL,BJP,2,Graduate Professional,"Rs 4,47,09,23,931 ~ 447 Crore+","Rs 3,06,22,72,630 ~ 306 Crore+"
174,Mangesh Ramesh Chavan,CHALISGAON,BJP,8,12th Pass,,
175,Manjula Tulshiram Gavit,SAKRI (ST),Shiv Sena,0,Graduate,"Rs 7,98,31,507 ~ 7 Crore+","Rs 6,67,735 ~ 6 Lacs+"
176,Manoj Bhimrao Ghorpade,KARAD NORTH,BJP,2,Graduate,"Rs 15,77,52,151 ~ 15 Crore+","Rs 1,77,42,259 ~ 1 Crore+"
177,Manoj Pandurang Jamsutkar,BYCULLA,Shiv Sena (Uddhav Balasaheb Thackeray),0,12th Pass,,
178,Mihir Kotecha,MULUND,BJP,0,12th Pass,"Rs 14,57,70,945 ~ 14 Crore+","Rs 9,16,70,919 ~ 9 Crore+"
179,Mohan Gopalrao Mate,NAGPUR SOUTH,BJP,2,Others,"Rs 1,77,88,926 ~ 1 Crore+","Rs 17,02,140 ~ 17 Lacs+"
180,Monica Rajeev Rajale,SHEVGAON,BJP,1,Graduate,,
181,Mrs Shweta Vidyadhar Mahale,CHIKHLI,BJP,6,Others,"Rs 7,17,40,028 ~ 7 Crore+","Rs 2,21,53,590 ~ 2 Crore+"
182,Mufti Mohammad Ismail Abdul Khalique,MALEGAON CENTRAL,All India Majlis-E-Ittehadul Muslimeen,2,Others,"Rs 75,20,027 ~ 75 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
183,Mungantiwar Sudhir Sacchidanand,BALLARPUR,BJP,2,Post Graduate,,
184,Murji Patel (Kaka),ANDHERI EAST,Shiv Sena,1,8th Pass,"Rs 14,76,47,443 ~ 14 Crore+","Rs 2,98,77,242 ~ 2 Crore+"
185,Mushrif Hasan Miyalal,KAGAL,NCP,3,Graduate,"Rs 13,70,10,273 ~ 13 Crore+","Rs 79,56,115 ~ 79 Lacs+"
186,Mutkule Tanhaji Sakharamji,HINGOLI,BJP,2,10th Pass,,
187,Namita Akshay Mundada,KAIJ (SC),BJP,0,Graduate Professional,"Rs 48,44,64,928 ~ 48 Crore+","Rs 8,29,63,467 ~ 8 Crore+"
188,Nanabhau Falgunrao Patole,SAKOLI,INC,4,12th Pass,"Rs 5,43,73,591 ~ 5 Crore+","Rs 1,00,00,000 ~ 1 Crore+"
189,Narahari Sitaram Zirwal,DINDORI (ST),NCP,0,12th Pass,,
190,Narayan (Aba) Govindrao Patil,KARMALA,NCP-Sharadchandra Pawar,4,8th Pass,"Rs 4,50,15,749 ~ 4 Crore+","Rs 75,85,649 ~ 75 Lacs+"
191,Narendra Mehta,MEERA BHAYANDAR,BJP,18,8th Pass,"Rs 63,09,98,260 ~ 63 Crore+","Rs 6,84,00,453 ~ 6 Crore+"
192,Nilangekar Sambhaji Diliprao Patil,NILANGA,BJP,2,Others,,
193,Nilesh Narayan Rane,KUDAL,Shiv Sena,8,Doctorate,"Rs 32,91,54,399 ~ 32 Crore+","Rs 16,12,69,228 ~ 16 Crore+"
194,Nitesh Narayan Rane,KANKAVLI,BJP,38,Post Graduate,"Rs 18,23,33,212 ~ 18 Crore+","Rs 8,28,43,118 ~ 8 Crore+"
195,Nitin Bhikanrao Deshmukh,BALAPUR,Shiv Sena (Uddhav Balasaheb Thackeray),9,12th Pass,,
196,Nitinbhau Arjun (A.T.) Pawar,KALWAN (ST),NCP,0,Graduate,"Rs 12,33,72,053 ~ 12 Crore+","Rs 90,30,358 ~ 90 Lacs+"
197,Ogale Hemant Bhujangrao,SHRIRAMPUR (SC),INC,2,Post Graduate,"Rs 2,67,37,448 ~ 2 Crore+","Rs 99,72,281 ~ 99 Lacs+"
198,Pachpute Vikram Babanrao,SHRIGONDA,BJP,21,Post Graduate,,
199,Parag Shah,GHATKOPAR EAST,BJP,0,Graduate,"Rs 33,83,06,20,898 ~ 3383 Crore+","Rs 37,90,000 ~ 37 Lacs+"
200,Patil Vikhe Radhakrushna Eknathrao,SHIRDI,BJP,1,Graduate,"Rs 34,17,61,504 ~ 34 Crore+",Rs 0 ~
201,Prakash (Dada) Sunadarrao Solanke,MAJALGAON,NCP,1,Graduate,,
202,Prakash Gunwant Bharsakle,AKOT,BJP,0,8th Pass,"Rs 18,52,39,942 ~ 18 Crore+","Rs 11,58,163 ~ 11 Lacs+"
203,Prakash Surve,MAGATHANE,Shiv Sena,1,Graduate,"Rs 9,64,22,017 ~ 9 Crore+","Rs 28,91,916 ~ 28 Lacs+"
204,Prashant Ramsheth Thakur,PANVEL,BJP,10,12th Pass,,
205,Pratap Baburao Sarnaik,OVALA MAJIWADA,Shiv Sena,9,10th Pass,"Rs 3,33,32,95,113 ~ 333 Crore+","Rs 1,99,99,32,205 ~ 199 Crore+"
206,Prataprao Patil Chikhalikar,LOHA,NCP,0,12th Pass,"Rs 9,85,35,274 ~ 9 Crore+","Rs 1,70,45,617 ~ 1 Crore+"
207,Pravin Vasantrao Tayade,ACHALPUR,BJP,4,12th Pass,,
208,Pravin Virbhadrayya Swami (Sir),UMARGA (SC),Shiv Sena (Uddhav Balasaheb Thackeray),0,Post Graduate,"Rs 82,95,488 ~ 82 Lacs+","Rs 27,46,426 ~ 27 Lacs+"
209,Prof. Dr. Ashok Ramaji Wooike,RALEGAON (ST),BJP,0,Post Graduate,"Rs 3,34,16,193 ~ 3 Crore+",Rs 0 ~
210,Prof.Dr.Tanaji Jayawant Sawant,PARANDA,Shiv Sena,0,Doctorate,,
211,Raghavendra (Ramdada) Manohar Patil,DHULE RURAL,BJP,3,Graduate Professional,"Rs 1,94,16,461 ~ 1 Crore+","Rs 11,77,840 ~ 11 Lacs+"
212,Rahul Prakash Awade,ICHALKARANJI,BJP,0,Post Graduate,"Rs 33,72,12,010 ~ 33 Crore+","Rs 21,65,81,246 ~ 21 Crore+"
213,Rais Kasam Shaikh,BHIWANDI EAST,SP,4,Graduate,,
214,Rajan Balkrishna Naik,NALASOPARA,BJP,11,Graduate,"Rs 45,19,37,369 ~ 45 Crore+","Rs 16,78,73,677 ~ 16 Crore+"
215,Rajendra Shamgonda Patil (Yadravkar),SHIROL,Rajarshi Shahu Vikas Aghadi,2,Others,"Rs 13,52,61,778 ~ 13 Crore+","Rs 2,50,67,817 ~ 2 Crore+"
216,Rajesh Bhaurao Bakane,DEOLI,BJP,3,12th Pass,,
217,Rajesh Govardhan More,KALYAN RURAL,Shiv Sena,2,Graduate,"Rs 5,64,95,087 ~ 5 Crore+","Rs 1,70,37,893 ~ 1 Crore+"
218,Rajesh Sambhajirao Pawar,NAIGAON,BJP,2,Graduate Professional,"Rs 2,12,83,38,777 ~ 212 Crore+","Rs 34,49,84,932 ~ 34 Crore+"
219,Rajesh Shriramji Wankhade,TEOSA,BJP,1,Graduate,,
220,Rajesh Udesing Padvi,SHAHADA (ST),BJP,1,Graduate,"Rs 12,77,89,923 ~ 12 Crore+","Rs 4,58,05,504 ~ 4 Crore+"
221,Rajesh Uttamrao Vitekar,PATHRI,NCP,0,Graduate,"Rs 9,21,27,408 ~ 9 Crore+","Rs 96,85,108 ~ 96 Lacs+"
222,Rajesh Vinayak Kshirsagar,KOLHAPUR NORTH,Shiv Sena,6,Graduate,,
223,Raju Narayan Todsam,ARNI (ST),BJP,6,Post Graduate,"Rs 2,46,43,295 ~ 2 Crore+",Rs 0 ~
224,Ram Kadam,GHATKOPAR WEST,BJP,4,10th Pass,"Rs 71,33,87,568 ~ 71 Crore+","Rs 23,07,43,827 ~ 23 Crore+"
225,Ramdas Maluji Masram,ARMORI (ST),INC,1,Post Graduate,,
226,Ramesh Kashiram Karad,LATUR RURAL,BJP,3,Graduate Professional,"Rs 13,35,79,443 ~ 13 Crore+","Rs 2,94,43,723 ~ 2 Crore+"
227,Ranajagjitsinha Padmasinha Patil,TULJAPUR,BJP,2,Graduate Professional,"Rs 46,19,53,929 ~ 46 Crore+","Rs 6,57,53,138 ~ 6 Crore+"
228,Randhir Pralhadrao Sawarkar,AKOLA EAST,BJP,1,Graduate Professional,,
229,Ranjanatai (Sanjana) Harshvardhan Jadhav,KANNAD,Shiv Sena,0,Graduate,"Rs 15,30,51,344 ~ 15 Crore+","Rs 2,57,84,203 ~ 2 Crore+"
230,Rathod Sanjay Dulichand,DIGRAS,Shiv Sena,2,Graduate Professional,"Rs 43,11,48,827 ~ 43 Crore+","Rs 24,38,76,524 ~ 24 Crore+"
231,Ravi Gangadhar Rana,BADNERA,Rashtriya Yuva Swabhiman Party,3,12th Pass,,
232,Ravisheth Patil,PEN,BJP,0,12th Pass,"Rs 12,34,06,669 ~ 12 Crore+","Rs 14,93,320 ~ 14 Lacs+"
233,Rohit Pawar,KARJAT JAMKHED,NCP-Sharadchandra Pawar,1,Graduate Professional,"Rs 1,06,26,39,996 ~ 106 Crore+","Rs 12,43,92,491 ~ 12 Crore+"
234,Rohit Suman R.R. Aba Patil,TASGAON-KAVATHE MAHANKAL,NCP-Sharadchandra Pawar,0,Graduate Professional,,
235,Sachin Patil,PHALTAN (SC),NCP,0,8th Pass,"Rs 2,61,67,035 ~ 2 Crore+","Rs 13,24,734 ~ 13 Lacs+"
236,Sai Prakash Dahake,KARANJA,BJP,0,12th Pass,"Rs 4,33,46,193 ~ 4 Crore+",Rs 0 ~
237,Sajid Khan Pathan,AKOLA WEST,INC,10,8th Pass,,
238,Sameer Dattatraya Meghe,HINGNA,BJP,6,Graduate,"Rs 2,61,39,16,592 ~ 261 Crore+","Rs 75,14,23,196 ~ 75 Crore+"
239,Samir Tryambakrao Kunawar,HINGANGHAT,BJP,0,12th Pass,"Rs 12,66,39,185 ~ 12 Crore+","Rs 92,89,375 ~ 92 Lacs+"
240,Sana Malik,ANUSHAKTI NAGAR,NCP,0,Graduate Professional,,
241,Sandeep Ravindra Kshirsagar,BEED,NCP-Sharadchandra Pawar,0,Graduate,"Rs 12,41,50,560 ~ 12 Crore+","Rs 5,47,01,936 ~ 5 Crore+"
242,Sangram Arunkaka Jagtap,AHMEDNAGAR CITY,NCP,1,Graduate,"Rs 14,29,38,082 ~ 14 Crore+","Rs 3,60,11,661 ~ 3 Crore+"
243,Sanjay Baburao Bansode,UDGIR (SC),NCP,0,12th Pass,,
244,Sanjay Govind Potnis,KALINA,Shiv Sena (Uddhav Balasaheb Thackeray),1,10th Pass,"Rs 6,74,82,665 ~ 6 Crore+","Rs 25,25,000 ~ 25 Lacs+"
245,Sanjay Mukund Kelkar,THANE,BJP,0,Graduate,"Rs 5,89,26,779 ~ 5 Crore+","Rs 29,51,262 ~ 29 Lacs+"
246,Sanjay Narayanrao Meshram,UMRED (SC),INC,1,Graduate Professional,,
247,Sanjay Pandurang Shirsat,AURANGABAD WEST (SC),Shiv Sena,3,12th Pass,"Rs 35,42,18,129 ~ 35 Crore+","Rs 26,45,75,922 ~ 26 Crore+"
248,Sanjay Puram,AMGAON (ST),BJP,0,12th Pass,"Rs 1,46,14,556 ~ 1 Crore+","Rs 9,50,000 ~ 9 Lacs+"
249,Sanjay Upadhyay,BORIVALI,BJP,2,Post Graduate,,
250,Savkare Sanjay Waman,BHUSAWAL (SC),BJP,0,Others,"Rs 6,88,74,138 ~ 6 Crore+","Rs 2,43,33,277 ~ 2 Crore+"
251,Shankar Hiraman Mandekar,BHOR,NCP,0,12th Pass,"Rs 12,66,64,200 ~ 12 Crore+","Rs 73,53,000 ~ 73 Lacs+"
252,Shantaram Tukaram More,BHIWANDI RURAL (ST),Shiv Sena,0,Graduate,,
253,Sharaddada Bhimaji Sonawane,JUNNAR,IND,4,10th Pass,"Rs 5,10,69,640 ~ 5 Crore+",Rs 0 ~
254,Shekhar Govindrao Nikam,CHIPLUN,NCP,1,Post Graduate,"Rs 19,66,49,560 ~ 19 Crore+","Rs 1,24,24,640 ~ 1 Crore+"
255,Shirishkumar Surupsing Naik,NAWAPUR (ST),INC,0,Graduate,,
256,Shivaji Shattupa Patil,CHANDGAD,IND,0,12th Pass,"Rs 91,35,43,439 ~ 91 Crore+","Rs 15,84,58,828 ~ 15 Crore+"
257,Shivendraraje Abhaysinhraje Bhonsle,SATARA,BJP,6,12th Pass,"Rs 1,28,41,81,725 ~ 128 Crore+","Rs 10,33,60,691 ~ 10 Crore+"
258,Shyam Ramcharan Khode,WASHIM (SC),BJP,1,10th Pass,,
259,Siddharth Anil Shirole,SHIVAJINAGAR,BJP,1,Graduate Professional,"Rs 25,26,84,574 ~ 25 Crore+","Rs 2,39,04,244 ~ 2 Crore+"
260,Sneha Dube Pandit,VASAI,BJP,1,Graduate Professional,"Rs 1,68,66,201 ~ 1 Crore+","Rs 46,44,974 ~ 46 Lacs+"
261,Suhas (Aanna) Dwarkanath Kande,NANDGAON,Shiv Sena,3,Graduate,,
262,Sulbha Ganpat Gaikwad,KALYAN EAST,BJP,0,5th Pass,"Rs 75,97,79,350 ~ 75 Crore+","Rs 8,82,42,988 ~ 8 Crore+"
263,Sulbha Sanjay Khodke,AMRAVATI,NCP,0,Post Graduate,"Rs 8,39,95,831 ~ 8 Crore+","Rs 85,28,495 ~ 85 Lacs+"
264,Sumit Wankhede,ARVI,BJP,0,Graduate Professional,,
265,Sunil Rajaram Raut,VIKHROLI,Shiv Sena (Uddhav Balasaheb Thackeray),3,12th Pass,"Rs 6,20,86,065 ~ 6 Crore+","Rs 1,70,06,152 ~ 1 Crore+"
266,Sunil Shankarrao Shelke,MAVAL,NCP,1,8th Pass,"Rs 1,27,94,60,530 ~ 127 Crore+","Rs 6,76,11,446 ~ 6 Crore+"
267,Sunil Waman Prabhu,DINDOSHI,Shiv Sena (Uddhav Balasaheb Thackeray),0,12th Pass,,
268,Suresh Damu Bhole (Raju Mama),JALGAON CITY,BJP,2,Graduate,"Rs 31,91,11,893 ~ 31 Crore+","Rs 9,37,74,604 ~ 9 Crore+"
269,Thorve Mahendra Sadashiv,KARJAT,Shiv Sena,2,8th Pass,"Rs 51,21,16,392 ~ 51 Crore+","Rs 20,29,45,516 ~ 20 Crore+"
270,Tukaram Ramkrushna Kate,CHEMBUR,Shiv Sena,1,8th Pass,,
271,Tushar Govindrao Rathod,MUKHED,BJP,0,Graduate Professional,"Rs 11,18,83,348 ~ 11 Crore+","Rs 3,88,57,488 ~ 3 Crore+"
272,Uday Ravindra Samant,RATNAGIRI,Shiv Sena,0,Others,"Rs 5,07,80,370 ~ 5 Crore+","Rs 1,26,01,137 ~ 1 Crore+"
273,Udhan Hikmat Baliram,GANSAVANGI,Shiv Sena,1,Graduate Professional,,
274,Umesh Alias Chandu Atmaramji Yawalkar,MORSHI,BJP,1,Graduate Professional,"Rs 21,44,92,731 ~ 21 Crore+","Rs 1,09,41,436 ~ 1 Crore+"
275,Varun Satish Sardesai,VANDRE EAST,Shiv Sena (Uddhav Balasaheb Thackeray),0,Post Graduate,"Rs 9,22,04,637 ~ 9 Crore+",Rs 0 ~
276,Vidya Jaiprakash Thakur,GOREGAON,BJP,0,8th Pass,,
277,Vijay Bharatlal Rahangdale,TIRORA,BJP,1,Graduate,"Rs 8,51,90,212 ~ 8 Crore+","Rs 98,93,505 ~ 98 Lacs+"
278,Vijay Namdeorao Wadettiwar,BRAMHAPURI,INC,0,10th Pass,"Rs 97,24,90,862 ~ 97 Crore+","Rs 43,65,57,078 ~ 43 Crore+"
279,Vijaybapu Shivtare,PURANDAR,Shiv Sena,4,Others,,
280,Vijaysinh Shivajirao Pandit,GEORAI,NCP,2,Graduate Professional,"Rs 27,66,17,933 ~ 27 Crore+","Rs 7,58,53,520 ~ 7 Crore+"
281,Vikas Pandurang Thakre,NAGPUR WEST,INC,6,Graduate,"Rs 10,09,00,527 ~ 10 Crore+","Rs 2,96,53,397 ~ 2 Crore+"
282,Vilas Sukur Tare,BOISAR (ST),Shiv Sena,0,5th Pass,,
283,Vinod Bhiva Nikole,DAHANU (ST),CPI(M),5,12th Pass,"Rs 82,01,803 ~ 82 Lacs+",Rs 0 ~
284,Vishwanath Atmaram Bhoir,KALYAN WEST,Shiv Sena,2,Graduate,"Rs 3,35,02,015 ~ 3 Crore+","Rs 37,83,384 ~ 37 Lacs+"
285,Vitthal Vakilrao Langhe,NEVASA,Shiv Sena,0,8th Pass,,
286,Yogesh Sagar,CHARKOP,BJP,2,10th Pass,"Rs 7,89,89,368 ~ 7 Crore+","Rs 2,03,77,906 ~ 2 Crore+"
